timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,pressure,altitude
1772651150799,0.263362,-0.251391,9.806650,-0.001065,0.010653,0.001598,-20.58,-19.32,-30.00,,
1772651150810,0.263362,-0.251391,9.806650,-0.001065,0.010653,0.001598,-20.58,-19.32,-30.00,,
1772651150822,0.263362,-0.251391,9.806650,-0.001065,0.010653,0.001598,-20.58,-19.32,-30.00,,
1772651150829,0.177171,-0.253785,9.768343,0.000000,0.013316,0.001598,-20.58,-19.74,-30.30,,
1772651150840,0.256180,-0.239420,9.799467,0.000000,0.013316,0.001598,-22.32,-20.04,-31.14,,
1772651150852,0.323217,-0.222661,9.847352,0.000000,0.013316,0.001598,-22.08,-19.80,-31.74,,
1772651150859,0.356736,-0.198719,9.871294,0.000000,0.013316,0.001598,-21.84,-19.92,-32.10,,
1772651150869,0.349553,-0.148441,9.871294,0.000000,0.013316,0.001598,-22.08,-19.80,-32.04,,
1772651150879,0.292093,-0.136469,9.813833,0.000533,0.014914,0.002131,-21.66,-19.98,-31.26,,
1772651150890,0.189142,-0.165200,9.804255,-0.001598,0.011718,0.001598,-21.06,-19.86,-31.02,,
1772651150901,0.189142,-0.205901,9.804255,-0.006924,0.002131,0.003196,-20.22,-19.80,-30.60,,
1772651150911,0.184354,-0.208296,9.787497,-0.009587,0.002663,0.007457,-20.34,-19.92,-30.78,,
1772651150919,0.090980,-0.196325,9.665392,-0.007457,0.000000,0.006924,-20.28,-19.80,-31.02,,
1772651150929,0.007183,-0.246603,9.761160,0.003196,0.006392,-0.002663,-20.52,-19.98,-31.50,,
1772651150940,0.100556,-0.342371,9.813833,-0.001065,-0.006924,-0.008522,-20.58,-19.80,-31.86,,
1772651150951,0.234632,-0.397437,9.732430,-0.005859,-0.030360,-0.007989,-20.76,-19.98,-31.86,,
1772651150959,0.378284,-0.486023,9.775525,-0.008522,-0.050067,-0.004794,-20.82,-20.04,-32.10,,
1772651150969,0.481235,-0.440533,9.854534,0.008522,-0.010653,0.003728,-20.52,-20.10,-31.32,,
1772651150979,0.423774,-0.335188,9.907207,0.022371,0.033023,0.004794,-20.64,-20.46,-31.62,,
1772651150989,0.332794,-0.158017,9.904813,0.026632,0.059655,0.003196,-21.06,-20.22,-31.38,,
1772651151001,0.186748,0.002394,9.856929,0.023968,0.058057,0.001065,-21.72,-20.28,-31.44,,
1772651151009,0.093374,0.102951,9.763555,0.012251,0.027164,-0.002663,-21.78,-20.22,-32.04,,
1772651151019,0.052672,0.019154,9.804255,-0.009587,-0.019175,-0.004261,-21.54,-19.74,-31.56,,
1772651151029,0.081403,-0.093374,9.801862,-0.015446,-0.024501,-0.003196,-21.18,-19.68,-31.32,,
1772651151039,0.141258,-0.184354,9.797073,-0.017044,-0.020773,0.002663,-21.18,-19.50,-30.96,,
1772651151051,0.189142,-0.260968,9.706094,-0.014381,-0.016512,0.004794,-20.88,-19.68,-30.96,,
1772651151059,0.220267,-0.299275,9.761160,-0.008522,-0.009587,0.007457,-21.06,-19.86,-30.66,,
1772651151069,0.270545,-0.323217,9.816227,-0.002663,0.000533,0.002131,-21.24,-20.04,-31.08,,
1772651151079,0.316035,-0.335188,9.787497,-0.002131,0.000533,-0.000533,-21.78,-19.62,-31.32,,
